batch,code,size,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_content,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,impurities_scaled,tbl_tensile,Drug release average
937,17,960000,3,239,17,20,16,94.3,0.05,18.898546513702126,51,83,4.644,0.45,0.32,34.314,121.223,255.451,4.5,2.463,3.9,4.0,4.0,4.1,223.0,229.0,0.8,0.87,41.0,62.0,52,62.72,78.4,71.54,8.0,8.2,98.483,98.39,87.0,83,0.04,0.07,0.05,0.05,119.9485049,2.291666667,64.375,961.7708333,9164,80.0,13,3.413333333,2.290231904,5.7,6.669763164876695,0.110202878,6.6,0.0,6.173288826,0.090002961,1.752129304,68.29690794,78,62,204.0804638,228,129,0.4,6.373333333,5.989666667,87.0,83.0,0.04,0.07,0.05,0.05,0.08695652173913043,2.018278238309102,102.7
950,17,960000,3,243,18,20,16,94.2,0.05,18.80538424201688,51,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.1,224.0,231.0,0.69,0.8,33.0,76.0,57,64.68,86.24,77.42,8.0,8.1,97.723,97.538,87.0,85,0.06,0.07,0.05,0.05,119.842902,4.479166667,65.52083333,1662.8125,9392,79.93484321,16,9.172727273,2.290623898,10.3,7.157103232375103,0.799271915,5.7,1.176657264,6.4172567,0.057035702,1.7122567,215.5476023,261,133,174.8180536,208,90,0.57,5.767741935,6.146451613,87.0,85.0,0.06,0.07,0.05,0.05,0.08695652173913043,2.1384890586016505,102.7
951,17,960000,3,243,18,20,16,94.2,0.05,19.07128509722726,51,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,3.9,4.0,4.0,221.0,227.0,0.62,0.6,30.0,72.0,60,64.68,78.4,72.52,8.1,8.1,98.295,98.295,85.5,81,0.02,0.08,0.05,0.05,119.8875822,2.708333333,48.54166667,1278.854167,12220,79.97819315,13,3.2175,2.336468936,4.9,7.232441746667054,0.072194751,6.2,2.20259467,6.374978962,0.054108958,1.66,219.6300842,259,156,176.0645161,188,113,0.44,5.805128205,6.173846154,85.5,81.0,0.02,0.08,0.05,0.05,0.13043478260869562,1.887963678050216,100.88161519678702
952,17,960000,3,243,18,20,16,94.2,0.05,18.88246603912763,51,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.0,222.0,231.0,0.72,0.94,47.0,68.0,57,70.56,88.2,77.42,8.1,8.1,98.531,98.438,89.83,83,0.02,0.08,0.05,0.05,119.9941543,13.95833333,52.8125,986.6666667,5128,80.0,9,3.505263158,2.452158774,6.9,6.897385394634138,0.095511574,6.1,2.209296657,6.347552228,0.061451989,1.691852368,220.2190111,269,166,175.9470752,195,163,0.18,5.989473684,6.181578947,89.83,83.0,0.02,0.08,0.05,0.05,0.13043478260869562,2.4,101.49661970524389
953,17,960000,3,243,18,20,16,94.2,0.05,18.782301704269543,51,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,4.0,4.0,4.1,4.1,222.0,229.0,0.75,0.9,19.0,63.0,51,62.72,78.4,68.6,8.1,8.1,97.917,97.917,86.83,82,0.02,0.08,0.05,0.05,119.9499132,3.020833333,264.0625,1523.020833,11728,80.0,11,3.848648649,2.646905767,10.2,6.87951554400273,0.16127263,5.7,2.368635724,6.394170183,0.055164964,1.769630802,216.1754571,254,129,151.6318565,184,96,0.56,6.062162162,6.198378378,86.83,82.0,0.02,0.08,0.05,0.05,0.13043478260869562,2.4,102.7
954,17,960000,3,244,18,20,16,94.5,0.05,18.683782153451546,51,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.1,222.0,230.0,0.64,1.08,18.0,77.0,59,62.72,92.12,80.36,8.1,8.1,98.341,98.248,87.67,84,0.02,0.09,0.05,0.05,119.9343455,3.229166667,51.04166667,1044.375,9902,79.97801814,14,4.636363636,2.406777268,4.7,7.0408529468515315,0.075234465,6.6,2.408612778,6.40959054,0.029954798,1.657320861,204.3049771,256,118,168.9368161,181,96,0.22,6.096875,6.3346875,87.67,84.0,0.02,0.09,0.05,0.05,0.1739130434782608,2.4,98.93104122328475
955,17,960000,3,244,18,21,16,94.5,0.069,19.06109104046572,52,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.1,225.0,230.0,0.63,0.56,15.0,78.0,61,70.56,82.32,75.46,8.1,8.1,98.486,98.58,88.5,82,0.02,0.09,0.05,0.05,119.9307826,3.645833333,48.95833333,1363.020833,12982,79.97809458,20,4.162790698,2.505859513,5.5,7.212580799888375,0.080639115,6.5,2.559477586,6.447970349,0.042562805,1.701411931,200.7073773,249,137,163.937875,176,95,0.44,6.238095238,6.269285714,88.5,82.0,0.02,0.09,0.05,0.05,0.1739130434782608,2.3574915942248262,102.7
956,17,960000,3,244,18,21,16,94.5,0.069,18.737744436264013,52,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.8,4.0,4.0,4.1,224.0,228.0,0.67,0.5,24.0,77.0,57,58.8,80.36,68.6,8.1,8.1,97.112,97.112,87.0,84,0.02,0.08,0.05,0.05,119.7230396,12.60416667,167.8125,2522.083333,4329,82.65811373,9,7.629411765,2.406557377,7.9,6.648462632799899,0.570420626,6.2,2.052965806,6.373712491,0.115960364,1.647006281,205.7041172,270,116,180.4085834,269,86,0.22,6.3375,6.25,87.0,84.0,0.02,0.08,0.05,0.05,0.13043478260869562,1.964558614257432,102.7
957,17,960000,3,244,18,21,16,94.5,0.069,18.720041796289433,52,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.1,223.0,229.0,0.61,0.75,43.0,66.0,57,70.56,92.12,78.4,8.1,8.2,98.911,98.911,87.83,81,0.03,0.09,0.05,0.05,119.9588581,3.125,52.91666667,667.0833333,6233,80.0,11,4.295238095,2.307703032,7.2,6.895937653708334,0.131311883,6.4,1.384140816,6.340972464,0.049117692,1.659661903,212.130359,250,156,181.0341582,216,111,0.35,6.204761905,6.225714286,87.83,81.0,0.03,0.09,0.05,0.05,0.1739130434782608,2.212603550592211,101.45355815869296
958,17,960000,3,244,18,21,16,94.5,0.069,19.126340560576466,52,83,4.445,0.45,0.33,30.363,119.557,262.707,4.5,2.463,3.9,4.0,4.0,4.0,225.0,230.0,0.55,0.61,32.0,72.0,60,74.48,94.08,83.3,8.1,8.1,99.62,99.337,82.5,74,0.03,0.09,0.05,0.05,119.9382934,1.041666667,29.47916667,279.1666667,2663,79.97815534,8,5.546153846,2.096760711,6.7,6.724860243166071,0.076195787,6.4,1.35308255,6.384590735,0.048039959,1.65,225.1219087,281,194,186.9164054,198,176,0.31,6.383333333,6.171666667,82.5,74.0,0.03,0.09,0.05,0.05,0.1739130434782608,2.2528918096576858,99.86839747283987
